X, Y, Psi
0.87000, 0.11000, -0.92855
0.89000, 0.11000, -0.81189
0.91000, 0.11000, -0.68242
0.93000, 0.11000, -0.54220
0.95000, 0.11000, -0.39344
0.97000, 0.11000, -0.23852
0.99000, 0.11000, -0.07976
1.00000, 0.11000, -0.00000
0.00000, 0.13000, 0.00000
0.01000, 0.13000, 0.09122
0.03000, 0.13000, 0.27279
0.05000, 0.13000, 0.44998
0.07000, 0.13000, 0.62010
0.09000, 0.13000, 0.78048
0.11000, 0.13000, 0.92855
0.13000, 0.13000, 1.06197
0.15000, 0.13000, 1.17864
0.17000, 0.13000, 1.27671
0.19000, 0.13000, 1.35460
0.21000, 0.13000, 1.41112
0.23000, 0.13000, 1.44543
0.25000, 0.13000, 1.45695
0.27000, 0.13000, 1.44547
0.29000, 0.13000, 1.41120
0.31000, 0.13000, 1.35467
0.33000, 0.13000, 1.27677
0.35000, 0.13000, 1.17871
0.37000, 0.13000, 1.06207
0.39000, 0.13000, 0.92871
0.41000, 0.13000, 0.78071
0.43000, 0.13000, 0.62037
0.45000, 0.13000, 0.45023
0.47000, 0.13000, 0.27299
0.49000, 0.13000, 0.09147
0.51000, 0.13000, -0.09147
0.53000, 0.13000, -0.27299
0.55000, 0.13000, -0.45023
0.57000, 0.13000, -0.62037
0.59000, 0.13000, -0.78071
0.61000, 0.13000, -0.92871
0.63000, 0.13000, -1.06207
0.65000, 0.13000, -1.17871
0.67000, 0.13000, -1.27677
0.69000, 0.13000, -1.35467
0.71000, 0.13000, -1.41120
0.73000, 0.13000, -1.44547
0.75000, 0.13000, -1.45695
0.77000, 0.13000, -1.44543
0.79000, 0.13000, -1.41112
0.81000, 0.13000, -1.35460
0.83000, 0.13000, -1.27671
0.85000, 0.13000, -1.17864
0.87000, 0.13000, -1.06197
0.89000, 0.13000, -0.92855
0.91000, 0.13000, -0.78048
0.93000, 0.13000, -0.62010
0.95000, 0.13000, -0.44998
0.97000, 0.13000, -0.27279
0.99000, 0.13000, -0.09122
1.00000, 0.13000, -0.00000
0.00000, 0.15000, 0.00000
0.01000, 0.15000, 0.10125
0.03000, 0.15000, 0.30276
0.05000, 0.15000, 0.49941
0.07000, 0.15000, 0.68823
0.09000, 0.15000, 0.86623
0.11000, 0.15000, 1.03056
0.13000, 0.15000, 1.17864
0.15000, 0.15000, 1.30813
0.17000, 0.15000, 1.41697
0.19000, 0.15000, 1.50342
